Date,Branch_ID,City,Service_Type,Account_Type,Transaction_Amount,Transaction_Fee,Currency,Net_Amount,Channel
2023-07-31,F101,Enugu,Loan Disbursement,Business,100651.02,250.53,NGN,100400.49,Web Portal
2023-04-23,F103,Kano,Airtime Purchase,Business,173505.04,1109.88,NGN,172395.16,Mobile App
2023-11-21,F102,Kano,Bill Payment,Business,679515.75,3493.28,USD,676022.47,Mobile App
2023-03-07,F102,Abuja,Loan Repayment,Business,703063.17,10445.58,USD,692617.59,Web Portal
2023-06-17,F103,Enugu,Airtime Purchase,Individual,94226.64,1136.12,USD,93090.52,Web Portal
2023-09-28,F103,Kano,Money Transfer,Individual,364420.65,2437.32,USD,361983.33,Mobile App
2023-07-19,F104,Kano,Loan Disbursement,Business,368340.88,1744.07,USD,366596.81,Web Portal
2023-05-15,F101,Lagos,Bill Payment,Individual,500664.88,6859.0,NGN,493805.88,Mobile App
2023-09-29,F101,Lagos,Airtime Purchase,Business,148459.34,1333.44,USD,147125.9,Agent Network
2023-05-18,F103,Enugu,Loan Repayment,Business,969798.72,4362.32,NGN,965436.4,Mobile App
2023-01-09,F104,Lagos,Bill Payment,Business,142207.26,1709.3,USD,140497.96,Mobile App
2023-06-22,F103,Lagos,Airtime Purchase,Individual,5989.69,69.1,NGN,5920.59,Web Portal
2023-02-20,F102,Lagos,Airtime Purchase,Individual,953230.1,3462.03,NGN,949768.07,Mobile App
2023-07-01,F103,Kano,Loan Disbursement,Individual,871186.91,5282.24,NGN,865904.67,Agent Network
2023-12-15,F103,Enugu,Bill Payment,Individual,529082.26,5896.69,NGN,523185.57,Agent Network
2023-05-22,F102,Abuja,Loan Disbursement,Business,632445.68,5697.63,NGN,626748.05,Mobile App
2023-01-16,F102,Kano,Loan Repayment,Business,177025.73,1120.41,NGN,175905.32,Mobile App
2023-03-05,F103,Lagos,Loan Repayment,Business,564172.73,5814.47,NGN,558358.26,Agent Network
2023-02-12,F102,Enugu,Money Transfer,Individual,79416.83,640.57,NGN,78776.26,Mobile App
2023-09-30,F102,Kano,Loan Disbursement,Business,590123.15,3549.1,NGN,586574.05,Mobile App
2023-11-01,F103,Lagos,Bill Payment,Business,9351.06,108.91,USD,9242.15,Agent Network
2023-04-23,F104,Kano,Money Transfer,Individual,326306.07,3157.77,NGN,323148.3,Agent Network
2023-04-01,F103,Abuja,Loan Disbursement,Business,408681.98,1462.54,NGN,407219.44,Web Portal
2023-05-12,F104,Abuja,Loan Repayment,Business,248095.96,1158.11,NGN,246937.85,Mobile App
2023-11-24,F102,Abuja,Bill Payment,Business,430668.31,4898.48,NGN,425769.83,Mobile App
2023-03-19,F102,Kano,Money Transfer,Business,545845.86,3024.56,NGN,542821.3,Mobile App
2023-06-29,F104,Kano,Loan Repayment,Business,675517.57,2482.21,NGN,673035.36,Mobile App
2023-11-24,F101,Lagos,Bill Payment,Business,641378.09,3854.44,USD,637523.65,Agent Network
2023-10-05,F102,Lagos,Bill Payment,Business,600595.05,8418.78,USD,592176.27,Web Portal
2023-06-28,F104,Kano,Loan Repayment,Individual,862949.35,10300.58,USD,852648.77,Mobile App
2023-10-03,F103,Lagos,Loan Repayment,Individual,141914.45,1274.94,NGN,140639.51,Web Portal
2023-08-17,F102,Abuja,Airtime Purchase,Business,103072.08,862.84,USD,102209.24,Agent Network
2023-05-13,F101,Enugu,Loan Disbursement,Individual,270996.45,4044.19,NGN,266952.26,Agent Network
2023-09-18,F104,Abuja,Loan Disbursement,Individual,330809.28,2469.86,NGN,328339.42,Mobile App
2023-03-24,F104,Enugu,Airtime Purchase,Business,950240.33,4980.55,USD,945259.78,Mobile App
2023-09-02,F101,Abuja,Money Transfer,Individual,787850.21,5818.96,NGN,782031.25,Agent Network
2023-07-21,F102,Kano,Airtime Purchase,Individual,234138.37,1629.57,NGN,232508.8,Web Portal
2023-07-28,F104,Kano,Money Transfer,Business,83294.02,1203.61,NGN,82090.41,Mobile App
2023-04-18,F104,Lagos,Loan Disbursement,Business,572116.84,1448.65,NGN,570668.19,Mobile App
2023-08-03,F101,Enugu,Loan Disbursement,Individual,638162.24,7458.78,NGN,630703.46,Mobile App
2023-07-30,F103,Enugu,Money Transfer,Individual,163791.08,1814.36,USD,161976.72,Mobile App
2023-09-09,F102,Enugu,Loan Disbursement,Individual,581151.82,2746.88,NGN,578404.94,Mobile App
2023-08-25,F104,Abuja,Money Transfer,Individual,411677.21,5927.56,USD,405749.65,Mobile App
2023-11-20,F104,Lagos,Money Transfer,Business,115298.4,1206.33,USD,114092.07,Mobile App
2023-01-08,F103,Enugu,Loan Disbursement,Business,153759.1,1268.28,NGN,152490.82,Web Portal
2023-12-14,F101,Enugu,Money Transfer,Individual,230035.67,2983.37,USD,227052.3,Web Portal
2023-05-21,F101,Enugu,Loan Repayment,Individual,585685.95,6399.25,USD,579286.7,Web Portal
2023-06-04,F101,Kano,Money Transfer,Individual,768179.99,9988.79,USD,758191.2,Web Portal
2023-08-01,F102,Lagos,Money Transfer,Business,985024.85,7581.92,USD,977442.93,Agent Network
2023-10-10,F102,Kano,Loan Repayment,Individual,607679.01,8721.52,USD,598957.49,Agent Network
2023-09-21,F102,Kano,Airtime Purchase,Business,76587.32,735.11,NGN,75852.21,Web Portal
2023-11-21,F103,Abuja,Money Transfer,Individual,421360.59,4276.2,NGN,417084.39,Mobile App
